Campaign,Single-Keyword Ad Group,Primary Keyword,Final URL,Landing Page,On-Page Location Confirmed
Large Opening Screens,Large Opening Screen Installation,large opening screen installation,https://www.visiblewindowsanddoors.com/large-opening-screens,large-opening-screens.html,H1
Large Opening Screens,Retractable Screens For Large Openings,retractable screens for large openings,https://www.visiblewindowsanddoors.com/large-opening-screens,large-opening-screens.html,H3 (card) + body copy
Large Opening Screens,Pull Down Screen Installation,pull down screen installation,https://www.visiblewindowsanddoors.com/large-opening-screens,large-opening-screens.html,H3 (card) + body copy
Large Opening Screens,Sliding Screen Doors For Large Openings,sliding screen doors for large openings,https://www.visiblewindowsanddoors.com/large-opening-screens,large-opening-screens.html,Hero paragraph + body copy
Large Opening Screens,Screens For Lift And Slide Doors,screens for lift and slide doors,https://www.visiblewindowsanddoors.com/large-opening-screens,large-opening-screens.html,H3 (card) + body copy
Large Opening Screens,Screens For Bifold Doors,screens for bifold doors,https://www.visiblewindowsanddoors.com/large-opening-screens,large-opening-screens.html,H3 (card) + body copy
Large Opening Screens,Custom Screen Doors For Large Openings,custom screen doors for large openings,https://www.visiblewindowsanddoors.com/large-opening-screens,large-opening-screens.html,Section H2 + body copy
Large Opening Screens,Patio Screen System Installation,patio screen system installation,https://www.visiblewindowsanddoors.com/large-opening-screens,large-opening-screens.html,Section H2 + body copy
Lift-and-Slide Installation,Lift And Slide Door Installation,lift and slide door installation,https://www.visiblewindowsanddoors.com/lift-and-slide-door-installation,lift-and-slide-door-installation.html,H1
Lift-and-Slide Installation,Lift Slide Door Installer,lift slide door installer,https://www.visiblewindowsanddoors.com/lift-and-slide-door-installation,lift-and-slide-door-installation.html,H1 + hero paragraph
Lift-and-Slide Installation,Large Sliding Glass Door Installation,large sliding glass door installation,https://www.visiblewindowsanddoors.com/lift-and-slide-door-installation,lift-and-slide-door-installation.html,Section H2 + body copy
Lift-and-Slide Installation,Large Opening Door Installation,large opening door installation,https://www.visiblewindowsanddoors.com/lift-and-slide-door-installation,lift-and-slide-door-installation.html,Section H2 + body copy
Lift-and-Slide Installation,Multi Slide Door Installation,multi slide door installation,https://www.visiblewindowsanddoors.com/lift-and-slide-door-installation,lift-and-slide-door-installation.html,H3 (card) + body copy
Lift-and-Slide Installation,Bifold Door Installation,bifold door installation,https://www.visiblewindowsanddoors.com/lift-and-slide-door-installation,lift-and-slide-door-installation.html,H3 (card) + body copy
Lift-and-Slide Installation,European Door Installation,European door installation,https://www.visiblewindowsanddoors.com/lift-and-slide-door-installation,lift-and-slide-door-installation.html,H3 (card) + body copy + FAQ
Lift-and-Slide Installation,Custom Home Door Installation,custom home door installation,https://www.visiblewindowsanddoors.com/lift-and-slide-door-installation,lift-and-slide-door-installation.html,FAQ body copy
Specialty Repair,Lift And Slide Door Repair,lift and slide door repair,https://www.visiblewindowsanddoors.com/lift-and-slide-door-repair,lift-and-slide-door-repair.html,H1 + coverage list H3-equivalent
Specialty Repair,Lift And Slide Roller Replacement,lift and slide roller replacement,https://www.visiblewindowsanddoors.com/lift-and-slide-door-repair,lift-and-slide-door-repair.html,Coverage list H3-equivalent
Specialty Repair,Sliding Door Roller Replacement,sliding door roller replacement,https://www.visiblewindowsanddoors.com/lift-and-slide-door-repair,lift-and-slide-door-repair.html,Hero paragraph + coverage list
Specialty Repair,Large Sliding Door Repair,large sliding door repair,https://www.visiblewindowsanddoors.com/lift-and-slide-door-repair,lift-and-slide-door-repair.html,Hero paragraph
Specialty Repair,Heavy Sliding Glass Door Repair,heavy sliding glass door repair,https://www.visiblewindowsanddoors.com/lift-and-slide-door-repair,lift-and-slide-door-repair.html,Coverage list H3-equivalent
Specialty Repair,European Door Repair,European door repair,https://www.visiblewindowsanddoors.com/lift-and-slide-door-repair,lift-and-slide-door-repair.html,Section H2 + coverage list
Specialty Repair,European Window Repair,European window repair,https://www.visiblewindowsanddoors.com/lift-and-slide-door-repair,lift-and-slide-door-repair.html,Section H2 + coverage list
Specialty Repair,Albertini Window Repair,Albertini window repair,https://www.visiblewindowsanddoors.com/lift-and-slide-door-repair,lift-and-slide-door-repair.html,Coverage list H3-equivalent
Specialty Repair,Albertini Door Repair,Albertini door repair,https://www.visiblewindowsanddoors.com/lift-and-slide-door-repair,lift-and-slide-door-repair.html,Coverage list H3-equivalent
